F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,Target
0.57,8.32,-1.59,Low,USA,0.75,-396.96,21.98,-6.08,6,4.92,6,-378.42,12.08,12317.85,-708.82,0
39.3,6.66,4.95,Low,Europe,1.08,-150.58,99.43,-8.76,6,10.86,6,-1019.01,14.14,17489.01,-949.63,0
-26.17,9.18,-9.3,Low,Rest,1.41,-197.54,93.48,-7.7,8,3.81,12,461.97,11.77,15253.48,-464.67,1087.13
-57.01,12.22,-13.53,Low,Rest,0.75,-118.32,75.3,-8.7,4,51.51,8,-143.82,13.59,19134.5,-279.23,3774.02
-47.79,0.48,-18.63,Low,Rest,889.17,-163.58,60.83,-8.32,2,6.36,12,938.97,12.08,16575.95,-894.52,0
-33.14,3.98,9.9,Medium,Rest,2.01,-145.62,46.04,-20.6,6,11.04,8,1919.58,14.44,10925.59,-713.82,215.61
26.75,8.12,-21.39,Very high,UK,2.07,-181.3,119.12,-18.36,18,9.21,2,1208.43,12.64,18549.7,-379.1,748.62
12.15,2.98,-0.15,Medium,Rest,0.45,-177.5,97.13,-15.52,10,6.96,10,-147.54,14.55,14499.74,-804.07,0
21.66,7.92,14.37,Medium,Rest,115.56,-230.3,118.2,-13.02,6,5.01,6,-771.78,22.22,3778.08,-597.4,343.95
14.1,12.56,6.42,Very high,USA,0.6,-370.46,135.9,-21.3,6,25.2,2,-171.03,13.38,17165.27,-728.67,2757.3
-44.28,10.58,-4.95,Low,UK,2.43,-121.6,103.05,-15.88,6,13.05,6,-84.15,3.63,15002.97,-491.37,875.97
39.42,5.14,-35.34,Low,UK,0.12,-171.38,38.86,-12.1,6,9.51,4,615.12,17.45,15263.84,-1009.05,0
-19.6,4.58,-0.42,Medium,UK,7.62,70.3,88.34,-13.7,6,7.71,10,2007.06,15.57,11383.76,-537.94,1195.16
-40.91,5.12,-6.93,Low,Rest,98.07,-204.42,68.13,-6.7,4,11.19,8,160.11,14.74,18997.48,-1347.66,0
-59.21,8.7,-8.76,High,USA,12.93,-236.86,90.9,-7.6,12,12.96,4,-375,12.52,6007.39,-903.09,0
-51.45,3.76,-7.11,Low,UK,7.32,-232.62,82.94,-6.48,14,13.92,10,575.82,19.93,20078.42,-223.79,249.63
-31.38,4.64,-13.35,High,Rest,0.12,-168.94,163.44,-15.14,8,6.66,6,-157.08,16.21,15848.78,-240.54,3238.52
-35.84,13.02,-6.69,Very high,USA,2.64,-140.62,67.08,-9.34,6,10.47,10,-24.42,17.02,26502.27,-744.6,1385.75
-45.65,3.5,0.21,Low,Rest,6.18,-258.46,136.49,-17.78,8,12.96,4,-183.3,11.79,16828.3,-1353.67,0
37.05,2,-21.57,Very high,USA,8.49,-156.78,96.23,-17.96,10,13.17,10,749.1,18.95,13987.49,-986.54,376.83
-61.57,20.14,2.25,Medium,Rest,3.66,-139.2,97.9,-13.28,6,24.27,8,470.73,20.37,16769.95,-940.17,3665.47
5.46,2.52,-8.22,Very low,UK,0,-131.64,93.64,-19.84,12,4.08,6,1387.92,17.07,8348.69,-579.51,0
-12.38,9.8,-1.98,Low,USA,0.15,-162.14,69.68,-13.74,0,9.63,10,1136.97,12.59,15655.71,-385.72,2238.1
-37.23,10.58,10.11,Low,Rest,23.58,-176.5,94.41,-14.88,6,13.23,6,296.1,12.96,19849.98,-364.64,1828.64
-24.62,5,9.21,High,Rest,1.92,-241.6,83.88,-28.4,8,28.74,4,562.77,22.78,20840.26,-745.74,1555.64
-79.79,7.92,-1.71,Very low,Europe,17.64,-256.14,99.25,-3.44,16,7.83,12,-489.45,11.76,16974.27,-1026.17,0
23.56,3.26,-10.02,High,USA,8.76,-250.82,97.27,-17.3,6,13.71,10,731.52,15.49,15273.07,-408.94,2006.39
-6.64,5.1,-6.6,Very high,Rest,3.93,-168.08,55.64,-22.68,12,6.27,8,1939.56,14.99,15787.81,103.9,1737.77
-46.07,11.36,-18.69,Very low,Rest,1.17,-161.58,89.8,-2.94,4,14.46,0,-708.84,23.37,12914.14,-546.45,17.45
-25.03,11.98,2.01,Very high,UK,908.61,-167.74,119.54,-18.82,8,8.37,8,-973.74,9.68,4496.72,-579.71,1101.89
-36.36,1.74,-35.04,High,USA,0.06,20.56,85.39,-7.12,8,0.63,4,-1013.46,22.91,18517.83,-360.84,0
-17.54,1.98,-22.38,High,Rest,3.78,-175.92,103.62,-27.94,4,16.26,6,818.76,12.11,15915.35,-335.47,2888.44
-39.29,2.16,-13.5,Medium,Rest,7.44,-370.66,49.09,-12.24,6,15.57,10,781.83,16.82,23664.84,-617.05,100.51
-37.68,9.96,-8.91,Low,USA,3.84,-220.48,63.58,-8.6,6,6.63,6,-1235.91,18.13,14572.35,-66.01,0
-7.69,7.22,-10.68,High,Rest,101.1,-199.1,140.66,-21.06,2,16.83,4,531.21,15.76,21567.16,-985.74,3370.82
-5.01,7.74,-11.31,Very low,Europe,0.21,-207.5,89.82,-15.88,10,11.52,0,-1598.85,14.67,14689.76,-989.92,0
3.44,3.18,-9.78,High,Europe,0.72,-84.88,118.46,-18.96,14,13.74,10,328.62,22.64,23166.19,-392.32,428.62
-25.75,9.42,-14.91,Low,USA,1.65,-155.98,67.16,-10.94,6,7.92,2,312.57,19.51,15698.89,-698.73,0
-14.41,3.66,-6.69,Very high,Rest,76.71,-264.86,87.34,-13.56,6,6.99,4,-519.3,13.39,17667,-1147.2,0
15.67,3.86,-10.5,Medium,Rest,39.15,-100.54,113.8,-19.5,6,9.18,8,2477.61,11.87,3690.07,-869.91,2808.51
-29.39,5.52,-2.55,Low,Europe,54.15,-72.86,151.29,-21.5,6,13.8,4,1148.58,14.48,18250.41,-370.5,998.85
-4.94,2.08,-7.68,Very high,USA,0.03,-218.26,46.69,-9.24,10,29.22,6,-558.45,14.8,19011.07,-1067.84,0
-72.13,4.92,-11.37,Medium,Rest,2335.59,-201.52,92.47,-23.28,2,10.95,18,1382.91,16.43,12605.91,-556.9,3616.65
20.17,12.86,-8.88,Very high,UK,0.06,-253.5,111.4,-7.14,6,5.25,6,1507.89,12.97,14973.11,-742.76,1805.17
-1.21,5.98,-11.61,Low,Rest,1.92,-172.1,91.54,-13.48,12,16.02,2,735.24,18.83,11933.1,-1328.24,0
33.53,2.18,-14.31,High,Europe,0.36,-192.68,56.27,-18.36,10,48.27,8,480.33,17.48,19022.53,-572.48,698.75
-28.49,13.92,-11.58,Medium,Europe,594.36,-170.26,63.11,0.48,6,8.25,16,-430.68,14.09,18157.98,-706.12,355.64
68.55,18.16,-5.19,Very high,USA,275.49,-246.7,91.07,-16.12,4,4.26,12,383.19,1.64,14252.11,-496.56,2770.51
48.66,2.04,-9.48,Very low,Europe,0.27,-404.26,121.44,-5.4,10,1.95,14,-751.59,9.69,14002.58,-474.77,0
-29.51,6.24,-10.05,Very high,Europe,0.54,-155.32,92.61,-28.42,4,15.18,8,1189.2,14.7,11584.03,-266.59,1198.31
2.45,8.42,-20.34,High,Rest,0.54,-189.78,61.07,-14.64,10,2.31,6,1052.97,11.43,16265.4,-1036.39,0
25.43,3.3,-8.37,Very high,Europe,6.78,-221.76,114.14,-20.46,6,3.66,6,-86.58,17.76,17441.86,-642.81,222.73
-48.93,20.24,-22.38,Very low,USA,2.31,-152.4,158.03,-11.3,6,19.47,6,109.95,6.48,9338.41,-836.94,2853.23
-16.58,8.36,3.66,Low,UK,4.05,-273.54,49.92,-12.78,6,10.65,12,698.49,18.54,17091.27,-936.9,47.55
-39.52,16.74,14.25,Low,UK,1.5,-63.68,87.97,-10.3,6,2.07,10,1129.26,17.31,21189.83,-469.55,1398.87
29.24,15.72,-13.5,High,Rest,2.4,-167.6,67.97,-11.58,6,14.46,6,883.5,10.77,17653.16,-669.58,2713.38
-24.11,3.64,-14.25,Very high,USA,20.64,-144.96,116.18,-21.02,6,3.99,12,640.47,10.85,13245.83,-311.23,2388.11
-42.47,2.64,11.85,Very low,Rest,17.88,-216.26,67,-13.94,4,22.62,2,650.76,22.05,12552.51,-719.66,0
-23.44,16.92,-16.92,Low,Europe,1.5,-152.46,128.3,-4.08,8,11.82,6,-396.45,15.88,18827.7,-772.17,592.43
-2.82,1.4,-0.72,Very high,USA,123.69,-56.96,118.15,-10.66,8,10.74,4,1665.48,15.17,16597.46,-453.21,1993.53
-17.11,3.74,-12.72,Very low,Rest,0.63,-189.48,119.02,-22.52,14,66.48,2,80.7,14.95,15692.5,-464.37,3591.35
-61.73,8.78,-9.18,Low,USA,0.57,-208.42,107.66,-8.28,6,5.52,14,552.18,7.89,17574.6,-1361.98,399.34
-55.36,17.58,-6.99,Medium,USA,57.57,-222.84,97.63,-3.86,10,9.6,6,-444.33,8.97,11116.14,-1130.07,0
-32.9,2.9,4.95,High,Europe,0.03,-236.08,115.21,-14.64,10,24.06,6,-1215.63,16.2,15742.29,-661.8,199.29
4.23,14.16,1.17,Medium,UK,0.09,-142.46,169.8,-15.78,12,3.48,4,-257.28,8.13,16299.63,-598.56,1269.65
-28.76,3.66,-4.65,Low,USA,170.34,-66.42,118.27,-8.54,2,4.95,4,1596.24,19.42,20148.49,-491.08,1602.1
-22.32,9.76,-24.15,Medium,Rest,11.43,-308.16,86.37,-14.96,8,10.44,10,1815,14.47,12271.88,-888.06,2171.7
-29.57,2.22,-11.67,Low,Rest,1.17,-185.44,72.25,-8.8,6,1.5,8,66.75,14.82,16319.45,15.85,0
28.67,5.54,-5.04,Medium,Europe,125.97,-204.7,10.53,-20.7,10,8.61,14,-1903.56,14.17,12637.35,-901.69,0
-36.86,6.54,-13.95,Low,Europe,4.29,-225.5,96.1,-21.88,6,9.51,4,906.57,13.39,7902.94,-510.53,238.58
-5.89,5.44,10.71,Medium,USA,121.32,-246.78,99.54,-2.24,8,4.23,10,175.38,13.22,17217.25,-766.7,0
33.79,12.44,-17.07,Low,Europe,40.5,-193.24,158.41,-8.2,8,10.23,12,1730.88,12.02,15949.67,-869.53,1535.38
-20.37,2.04,-1.32,Very low,USA,5.55,-147.02,71.1,-15.66,6,15.21,14,-388.05,15.33,22991.16,-333.71,0
9.39,5.42,-10.2,Low,Europe,0.45,-216.02,80.41,-18.24,6,17.49,8,311.58,15.77,14255.28,-652.39,207.06
-79.23,2.96,1.98,High,UK,9.18,-302.66,107.72,-19.68,14,27.99,2,309.45,15.73,13868.53,-1204.23,0
-44.52,2.9,10.77,Medium,Europe,6.96,-208.24,97.19,-20.6,18,7.8,12,1239.63,6.07,14826.33,-634.97,40.59
-30.01,7.4,-24.81,Very high,Europe,0.03,-212.14,132.2,-19.6,6,19.44,4,392.01,11.95,20036.35,-687.11,1043.89
-51.74,13.62,-13.59,Low,Rest,5.94,-183.8,113.68,-8.84,2,3.63,12,4.44,16.6,9117.31,-547.76,3226.37
-3.34,1.76,-16.89,Very low,Rest,224.19,31.04,140.25,-6.1,8,15.27,10,1327.62,13.9,9416.73,-718.63,2428.75
-55.75,2.18,-13.23,Medium,Europe,2.04,-170.8,139.74,-3.34,10,7.47,6,251.01,7.01,12464.84,-752.56,170.14
9.13,5.3,-13.92,Medium,USA,957.06,-233.52,46.51,1.1,4,2.31,2,1982.67,8.76,15360.87,-287.47,0
-28.6,3.76,-22.86,Very high,Europe,8.85,-176.08,68.12,-20.36,2,3.78,8,-669.39,18.86,14714.12,-298.92,139.45
-18.44,11.86,-29.91,Very high,Europe,0.12,150.04,105.6,-17.56,6,1.41,6,286.62,13.65,19977.93,-970.86,356.43
-45.35,3.7,-6.66,Medium,Europe,0.72,-232.58,114.93,-18.6,8,20.22,8,-521.61,14.14,14877.66,-714.7,300.75
-1.33,8.42,-6.33,Very high,Rest,3,-167.08,95.43,-16.56,12,6.33,10,2018.85,15.8,23142.07,-866.6,2280.12
19.24,6.42,-6.99,Very low,UK,1.26,-346.7,98.89,-16.18,4,2.4,6,1141.86,11.33,21837.62,-238.3,738.08
-13.68,12.22,-5.7,High,USA,73.89,-149.28,113.46,-12.82,6,13.8,14,458.04,12.91,16309.34,-169.83,2910.86
-15.99,1.84,-2.94,Medium,USA,3.24,-156.26,57.19,-26.64,10,17.94,10,37.74,8.52,14449.37,-847.94,0
6.38,3.06,-13.11,Very low,USA,238.32,-347.26,162.79,-16.9,12,1.29,10,792.42,18.93,13969.48,-602.99,726.91
-36.83,4.48,-8.49,High,Rest,2.97,-177.54,107,-7.08,14,8.73,8,866.52,14.22,9567.74,-687.18,371.01
-49.1,4.92,-6.9,Very high,Rest,9.12,-397.94,107.54,-18.66,4,8.82,8,234.24,14.97,8515.87,-713.13,2115.33
-63.17,3.72,-28.29,High,USA,126.63,-50.72,36.61,-4.52,8,6.39,8,389.4,15.63,19141.88,-879.49,0
-31.39,7.24,-4.05,Very low,UK,2.01,-253.96,90.56,-13.28,4,13.53,8,-697.26,16.23,18346.03,-586.59,229.03
-15.59,3.36,-8.07,Medium,UK,0.18,-88.22,109.16,-18.1,10,14.43,20,1024.14,20.83,19872.2,-684.67,1640.37
-10.91,1.82,2.97,Very high,Rest,0.09,-162.62,53.5,-13.46,14,4.44,6,72.78,22.3,10604.25,-961.15,0
-3.54,18.42,-20.82,Very high,Rest,0.51,-174.7,130.68,-13.16,10,17.7,4,983.49,18.75,16751.52,-366.33,3780.14
-1.22,2.62,-19.14,Very low,Rest,0.09,-119.92,115.06,-3.42,6,17.46,8,-278.37,19.46,13960.08,-1023.9,54.68
-33.08,16.3,-13.08,Low,Europe,1.92,-388.36,74.82,-15.1,10,24.21,10,1048.71,8.18,16924.86,-872.99,727.14
32.05,4.56,-12.15,Medium,Rest,0,-160.3,104.16,-11.68,8,15.93,8,521.49,11.82,11418.23,-621.8,1524.98
-38.29,10.72,-11.13,High,Rest,2.04,-201.64,88.25,-13.76,4,5.67,10,170.4,12.48,19984.41,-555.62,2315.23
-6.93,5.04,-11.49,Very high,UK,0.06,-395.54,20.12,-13.64,8,14.07,10,-319.86,10.77,19364.59,-701.99,0
58.32,16.9,-7.56,Very low,USA,0.18,-133.08,45.71,-13.44,4,2.04,6,1145.37,10.53,22716.19,-924.88,0
3.16,7.08,3.69,Medium,Rest,327.42,-185.32,118.28,-9.42,0,20.67,10,609.39,12.39,16090.46,-680,3691.87
0.61,9.6,17.31,High,Rest,0.42,-117.5,49.15,-1.14,12,4.83,8,2088.42,9.92,14772.34,-791.2,143.61
-29.42,6.34,-12.18,Very low,USA,0,-146.08,113.19,-25.06,4,12.03,10,190.68,13.97,16519.58,-944.34,794.17
-33.06,8.44,-9.03,Low,Rest,0.42,-187.1,159.03,-17.68,2,19.89,8,788.28,14.76,15515.53,-1404.3,3554.53
-8.21,8.7,-9.69,Very low,USA,0.84,-243.88,102.31,-19.82,2,15.75,10,33.66,16.77,14396.6,-1159.08,779.08
-17.33,4.4,-13.53,Very low,USA,0.63,-64.08,92.05,-15.66,14,20.07,6,759.66,19.1,14154.24,12.17,489.87
-15.69,12.74,3,Low,USA,0,-230.58,81.27,-12.8,14,18.63,6,994.65,23.06,11517.85,-1222.96,0
-3.94,1.88,-23.25,Medium,UK,3.18,-157.74,60.62,-19.9,4,2.16,8,38.49,15.91,13872.47,-676.66,0
-46.34,2.32,9.48,Very low,Rest,23.37,-233.54,137.74,-7.62,14,32.46,6,-553.11,14.87,11667.02,-886.2,274.1
-37.28,9.34,-15.84,Very high,UK,0.69,-235.56,100.26,-10.6,4,1.17,8,1146.06,12.57,15335.65,-421.68,1616.27
-43.97,1.28,-8.88,High,Europe,5.43,-197.96,155.59,-17.44,8,10.5,14,195.69,13.02,14884.4,-348.55,1142.75
-52.26,9.58,-26.88,Very high,Rest,4058.73,-236.12,143.41,-13.46,6,5.64,8,1396.14,9.77,16153.67,-680.09,3694.77
-16.04,9.02,4.74,Medium,Europe,6.51,-83.28,77.44,-4.64,6,10.32,4,854.34,13.55,12902.26,-323.12,357.82
-29.15,7,-16.35,High,Rest,0,-193.62,102.43,-10.88,6,2.07,10,1028.37,9.52,12441.18,-11.05,3376.78
-43.62,2.38,-12.96,Very low,Rest,507.42,-180.54,76.33,-20.02,0,9,12,1527.87,10.07,15916.44,-1147.88,319.32
38.6,7.2,0.21,Low,UK,0.03,-105.56,31.36,-12.36,6,28.53,10,579.51,15.18,12918.73,-945.46,260.01
-10.08,13.46,-7.38,Very high,Europe,1.95,-136.58,101.44,-15.96,12,15.66,6,1101.99,18.76,8802.45,-556.46,922.76
-30.54,7.86,0.99,High,Rest,15.3,-152.22,86.61,-8.86,10,6.09,10,-285.63,12.63,13090.51,77.56,1473.57
-18.23,8.88,3.6,High,Rest,1280.1,-517.18,87.66,-20.46,10,7.56,8,-67.02,16.76,14677.1,-402.2,561.66
-5.01,0.46,-17.73,Very low,Rest,66.87,-191.48,59.84,-11.06,6,6.51,8,-1483.62,14.65,14657.45,-703.89,0
-13.42,12.8,-2.64,Medium,Europe,1.62,-177.92,47.88,-19.08,6,2.88,10,791.55,29.42,19824.47,-551.47,196.94
-8.15,4.82,-5.64,Low,Europe,0.09,-211.98,112.16,-16.56,6,12.06,4,978.3,14.12,8960.18,-786.25,261.32
-43.19,5.94,-8.31,High,Europe,4.47,-173.22,120.16,-11.66,12,35.91,12,-161.31,19.9,15952.66,-644.7,1134.26
-46.42,4.06,-5.49,High,Europe,5.73,-377.14,102.73,-11.08,6,3.69,10,121.71,12.21,15583.99,-704.62,222.73
32.11,14.04,-8.52,Very high,Rest,10.08,-148.3,59.64,-9.64,12,32.28,10,-692.91,12.01,264.31,-184.83,3300.84
-42.44,2.94,-26.76,Medium,Europe,0.06,-199.36,89.16,-10.86,12,2.22,6,1324.35,14.55,14706.99,-1402.41,0
1.6,6.34,-7.86,High,Rest,0.27,-191.28,108.61,-7.68,6,16.26,18,893.31,14.59,26027.29,-358.67,3760.66
39.34,7.44,-2.97,Very low,Rest,40.08,-266.88,101.47,-22.28,6,3.39,4,-658.35,9.3,16911.28,-1023.21,0
16.83,6.88,-2.67,Very low,Rest,7.62,-125.78,62.02,-20.88,14,2.34,8,1035.12,15.01,10189.76,-853.96,0
8,14.34,-12.39,Very high,USA,115.77,-90.86,93.79,-9.72,8,20.4,10,-50.85,19.09,14812.35,-683.53,2574.41
-15.9,2.14,2.43,Low,UK,5.52,-203.6,106.15,-4.2,8,2.25,6,-577.98,20.38,6020.14,-281.04,0
-9.26,5.96,-11.04,High,Europe,102.6,-190.74,110.88,-11.28,4,4.47,2,-1218.75,12,13154.22,-724.15,0
40.32,6,-2.1,Medium,USA,205.47,-201.02,60.18,-7.02,10,11.34,6,1237.5,22.01,5234.25,-1060.32,0
-19.37,11.08,-2.94,Medium,UK,0.03,-294.46,98.08,-11.58,2,9.36,8,-722.04,26.19,19998.47,-387.06,1174.1
18.36,8,-2.22,Very high,Rest,3.3,24.72,79.13,-16.94,10,3.9,12,-1096.29,22.1,19420.34,-562.51,51.91
15.6,16.22,-1.32,Very high,Rest,3.6,-194.66,128.1,-22.48,8,1.83,6,1570.89,12.44,12000.97,-463.42,3721.75
15.51,5.14,-29.88,Very low,UK,0.99,-186.02,93.07,-12.76,8,14.49,6,996.06,12.88,11977.02,-1215.45,0
-10.75,6.48,-17.58,Very high,USA,12996.27,40.48,91.92,-14.32,10,16.38,10,-193.92,11.76,12185.23,-1232.8,0
-48.07,11.52,-17.52,Very low,Rest,1.68,-210.74,114.09,-5.88,8,19.02,4,2959.95,20.7,-792.23,-467.63,3679.04
-43.65,3.16,-4.59,Low,Europe,2920.08,-173.42,76.02,-14.78,2,2.67,4,47.94,15.37,24307.83,-608.41,0
-56.56,14.3,-9.33,Medium,UK,6.57,-187.88,87.26,-11.92,8,13.14,16,1146.3,18.14,15238.28,-729.3,1886.84
50.1,10.88,7.5,Very low,Rest,1.98,-211.6,113.74,-20.12,6,21,12,-643.59,20.01,24088.63,-845.18,2189.38
-17.75,9.08,2.13,High,Europe,17.55,-319.76,77.98,-4.74,8,23.16,10,221.91,15.16,14557.46,-989.96,435.31
-61.7,8.24,0,High,Europe,0.51,-356.42,50.16,-10.22,10,17.52,16,-639.42,13.09,15586.54,-758.79,143.08
21.63,7.7,-12.06,High,USA,13.98,-211.34,111.77,-2.88,8,7.71,4,-945.99,10.65,14119.81,-682.36,0
-11.26,3.88,-26.16,High,UK,134.31,-115.88,50.31,-10.94,8,18.18,12,-523.89,7,17568.47,-1072.08,0
3.66,14.78,-4.92,Medium,USA,4.44,-200.32,90.47,-5.18,8,13.86,6,1376.46,16.09,21762.72,-451.02,2452.13
-23.46,1.64,1.26,Very low,Rest,133.41,-191.56,118.87,-18,12,14.55,8,1651.26,14.93,18018.2,-831.62,374.84
-47.4,13.22,-2.31,Medium,USA,0,-246.86,65.02,-16.4,6,15.09,4,-765.84,14.05,11752.68,-767.44,0
1.81,6.66,-9.03,Very low,Europe,1.44,-158.34,58.94,-18,8,15.93,14,658.26,14.38,18028.38,-607.36,177.87
12.9,12.34,-12,High,Europe,0.03,-135.18,137.83,-22.08,10,13.53,10,124.62,14.96,10572.08,-1223.18,718.86
-92.56,8.04,-6.09,Low,UK,82.59,-87.42,83.37,-10.08,8,14.61,6,1697.04,14.69,14579.33,-1044.51,444.22
3.81,11.74,-7.5,Very high,Rest,0.27,-155.46,48.51,-16.82,10,2.91,10,-273.48,22.33,19742.02,-1005.81,0
-23.93,1.2,-13.83,Medium,Europe,7.92,-104.46,104.75,-18.64,6,15.42,16,-236.58,15.4,15736.24,-807.42,389.91
4.77,1.86,-6.09,Very low,Rest,0.06,-248.7,77.82,-10.38,4,15.96,4,12.96,19.88,14958.95,-858.38,0
-3.38,6.54,-17.55,Very high,Rest,26.37,-95.22,48.76,-15.8,10,14.64,6,1663.65,10.63,17670.79,-589.81,677.49
-77.29,3.16,-4.17,Very low,USA,1.17,-185.22,110.44,-24.8,8,6.06,6,-340.08,15.97,15849.94,-671.62,0
21.54,1.66,-14.31,Very high,USA,0,-172.54,107.22,-15.34,10,56.94,6,951.15,8.55,7027.78,-1511.37,2653.71
10.37,10.78,-3.15,Very low,Rest,5.94,-180.8,95,-16.1,8,4.8,8,371.28,10.48,18508.07,-518.25,340.67
36.18,9.96,-13.08,High,USA,9.63,-150.04,32.77,-3.02,6,23.61,10,495.48,16.15,8921.28,-196.88,1939.06
24.19,5.8,-10.8,Medium,Europe,42.06,-52.26,117.88,-12.68,4,14.28,4,-963.12,15.05,10523.08,-97.11,486.4
-27.52,6.08,-8.04,High,UK,0.06,-205.46,136.79,-17.94,8,10.59,6,1285.74,13.61,18229.89,-1081.64,1219.22
-12.54,3.98,-7.29,High,UK,8.16,-501.94,126.94,-16.28,8,14.1,8,-151.44,10.33,20193.36,-191.54,1413.83
-3.32,3.38,-19.62,Medium,USA,0.03,-173.4,75.35,-22.88,2,11.85,6,724.89,12.17,5128.05,-1153.86,0
29.35,6.06,-20.94,Low,USA,4.41,-211.48,34.17,-25.2,6,9.51,4,568.38,15.08,15191.61,-576.85,0
-24.02,6.88,-15.42,Very low,Europe,2.46,-170.56,79.3,-8.36,8,4.23,10,-1499.07,17.63,14865.08,-1345.47,0
7.75,3.12,-1.23,Medium,Europe,21.99,-130.32,85.51,-12.64,4,22.26,6,-1132.41,14.18,13252.36,-255.07,242.7
-26.63,3.26,-15.24,Medium,Rest,0.54,-104.16,74.88,-13.52,4,15.03,8,990.27,5.85,12438.88,-339.37,1842.27
-27.5,2.76,12.21,Very low,USA,379.08,-200.36,99.47,-21.08,10,8.4,8,403.38,10.69,3604,-1087.26,0
-31.15,3.26,-14.46,Very low,UK,6.24,-220.14,102.26,-15.78,8,3.57,6,108.24,15.96,22778.86,-433.31,0
3.37,9.84,3.81,Very low,UK,0.78,-276.68,112.73,-19.76,6,2.07,4,-182.04,16.2,13057.93,-1022.61,0
12.99,13.46,10.86,Low,USA,0,-202.98,94.3,-13.24,8,8.52,6,158.85,12.22,13359.73,-590.09,711.72
33.5,6.42,-9.51,Very high,USA,0.06,-132.5,134.81,-10.88,4,15.39,10,1521.63,16.33,16321.12,-734.13,2908.23
-10.93,9.52,-6.84,Medium,Europe,0,-141.02,93.87,-29.18,8,8.19,6,128.1,16.72,7316.41,-798.31,134.48
-3.82,1.92,-9.33,Very low,USA,0.33,-302.5,65.61,-14.4,6,15.39,12,716.67,15.11,5550.31,-707.12,0
-43.34,6.58,2.01,High,Rest,0.18,-254.8,94.25,-18.66,8,9,8,863.91,23.25,6855.17,-1018.91,578.19
-34.59,6.88,-4.95,High,USA,213.72,-210.18,174.02,-8.42,6,10.2,2,-475.92,19.22,12808.85,-895.47,1791.65
-12.95,24.46,-16.89,Low,UK,1.65,-153.92,115.56,-0.08,10,19.53,4,669,14.12,17674.81,-680.46,2069.94
-20.87,2.04,-13.44,Very low,USA,0.15,-221.78,89.62,-13.96,8,7.5,6,-447.06,13.75,10936.35,-1253.34,0
-33.61,17.04,-16.08,Very low,UK,0,-226.2,121.36,-24.52,12,15.18,8,979.83,19.17,21808.23,-600.39,1613.6
-36.45,7.6,-24.75,Very low,Europe,21987.78,-348.3,121.31,-16.92,6,17.73,14,306.48,17.66,12562.98,-1314.85,412.32
4.04,10.22,-10.14,Low,Rest,121.38,-182.88,92.03,-16.58,8,6.81,10,2936.88,16.52,20065.93,-956.53,2605.87
