F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Class
-2.34,-13.65,325,18.22,-4.54,23.7,16.37,-56.98,-558.72,20,10.02,119.66,5.15,-2.44,5.82,False
-19.92,-25.95,9,11.52,-7.26,1.71,10.32,-30.98,-444.72,2,-0.27,67.66,0.23,2.13,5.98,True
-11.94,-25.38,4,11.76,-7.59,1.05,9.92,-30.98,-472.72,2,0.33,65.66,0.71,2.8,6.31,False
-0.03,-13.41,10,9.06,-4.32,21.3,15.72,-56.98,-848.72,20,11.16,99.66,8.75,-2.72,,False
3.78,-9.33,190,11.66,-2.84,33.6,17.67,-56.98,-668.72,20,10.98,239.66,5.7,-2.75,,True
-12.06,-34.08,19,16.66,-7.87,1.83,9.52,-34.98,-444.72,2,-1.92,73.66,0.86,1.77,5.7,False
4.74,-12.21,50,11.22,-4.38,21.75,17.82,-56.98,-808.72,20,7.41,59.66,5.35,-1.98,4.94,True
0.99,-16.98,65,8.66,-5.08,39.6,14.77,-36.98,-698.72,20,3.93,199.66,6.1,-1.15,,False
-1.26,-14.76,100,10.84,-3.99,20.4,14.92,-56.98,-798.72,20,10.32,149.66,7.3,-1.45,3.68,False
-2.88,-17.46,295,16,-4,18.75,16.32,-56.98,-528.72,20,13.62,139.66,5.35,-3.2,,False
-1.26,-14.31,300,8.92,-3.1,43.8,15.62,-76.98,-708.72,20,7.08,-0.34,7.35,-0.79,3.6,False
-8.88,-25.59,3,11.88,-8.3,1.41,9.88,-34.98,-490.72,2,-1.08,67.66,0.6,2.65,,False
-11.97,-27.63,48,11.44,-7.74,4.08,10.01,-34.98,-472.72,2,-0.3,69.66,0.09,2.15,5.32,False
-7.95,-24.6,75,12.88,-8.65,4.05,10.08,-34.98,-456.72,2,-2.73,71.66,0.43,2.71,5.37,False
-7.02,-12.51,85,9.3,-4.95,27.6,15.07,-56.98,-478.72,20,10.89,209.66,5.8,-1.85,5.4,False
4.47,-11.37,225,8.88,-3.82,22.65,15.12,-56.98,-538.72,20,6.21,-80.34,6.65,-0.61,,False
-8.88,-29.82,1,11.7,-7.99,2.52,10.46,-30.98,-492.72,2,-2.67,107.66,0.35,4.81,6,False
-2.88,-12.12,85,12.6,-2.23,20.55,16.32,-36.98,-478.72,20,14.07,189.66,8.4,-3.7,,True
5.61,-9.48,190,10.92,-2.64,25.65,15.87,-56.98,-658.72,20,13.2,239.66,10.15,-0.54,6.29,True
-12.21,-24.42,33,15,-7.4,2.97,10.37,-26.98,-468.72,2,-9.54,103.66,0.91,2,,True
5.88,-12.6,250,16.4,-4.48,38.25,16.17,-56.98,-698.72,20,9.87,69.66,7.85,-1.92,,True
5.34,-15.39,125,8.42,-4,19.5,14.67,-76.98,-588.72,20,13.14,-50.34,8.8,-1.59,,False
-20.31,-25.29,21,11.46,-8.88,1.74,10.15,-34.98,-430.72,2,-0.15,77.66,0.05,1.5,6.03,False
1.8,-10.83,270,11.92,-3.19,22.8,15.77,-56.98,-698.72,20,10.62,169.66,9.7,-3.22,5.37,False
-18.6,-24,5,11.62,-7.92,5.52,10.09,-30.98,-424.72,2,-2.67,129.66,0.59,1.29,,True
-11.73,-25.29,26,17.5,-9.76,0.87,10.27,-34.98,-442.72,2,0.18,63.66,0.91,1.64,7.6,True
-8.28,-23.85,2,12.14,-8.34,3.18,10.34,-34.98,-484.72,2,0.51,63.66,0.2,1.28,6.02,True
-8.19,-24.69,33,12.14,-10.36,3.39,9.85,-34.98,-472.72,2,-0.78,59.66,0.76,3.28,,False
-17.49,-26.82,27,13.9,-9.02,2.19,10.14,-30.98,-474.72,2,-2.07,65.66,0.51,4.06,5.04,False
3.84,-13.92,145,10.34,-3.62,17.1,14.97,-76.98,-578.72,20,12.36,39.66,7.45,-0.92,,False
2.61,-21.15,70,10.32,-3.08,22.65,15.52,-56.98,-658.72,20,12.87,9.66,7.8,0.19,5.23,False
-10.86,-23.97,5,11.82,-8.89,0.6,10.33,-30.98,-450.72,2,-7.17,89.66,0.12,1.98,5.45,False
-8.88,-29.07,42,12.12,-7.48,1.47,10.37,-30.98,-482.72,2,-0.69,73.66,0.67,2.18,7,True
-9.51,-24.21,70,14.72,-9,5.28,10.1,-34.98,-420.72,2,-0.27,69.66,0.02,1.41,,False
3.39,-14.13,110,11.04,-3.17,25.95,17.87,-56.98,-798.72,20,12.87,159.66,5.7,-3,,True
5.07,-11.25,25,11.76,-3.16,19.2,16.22,-56.98,-478.72,20,7.32,-50.34,5.15,-1.01,3.95,False
-8.46,-26.7,21,13.3,-9.27,4.86,9.76,-30.98,-476.72,2,-0.3,113.66,0.96,1.28,,False
-9.21,-24.42,7,13.34,-8.75,3.12,10.24,-26.98,-438.72,2,-6.36,105.66,0.56,5.3,,True
5.73,-12.18,350,16.38,-2.02,21.6,18.02,-56.98,-498.72,20,14.49,279.66,6.4,-3.94,5.36,False
-0.27,-16.86,265,12.48,-3.98,42.3,15.87,-36.98,-578.72,20,8.52,209.66,5.35,-0.94,,False
-13.53,-35.25,40,19.06,-7.33,2.28,10.29,-34.98,-426.72,2,-3.81,87.66,0.27,2.56,,False
3.12,-15.81,145,14.04,-4.25,16.05,15.62,-56.98,-568.72,20,11.19,-0.34,5.75,-2.68,,False
6,-17.64,115,11.5,-3.06,16.5,16.87,-56.98,-448.72,20,10.8,149.66,7.1,-1.74,,True
-8.31,-33.3,39,14.18,-8.9,3.57,10.21,-26.98,-476.72,2,-0.48,133.66,0.69,2.03,6.91,True
5.94,-10.56,360,13.74,-4.92,38.25,18.37,-36.98,-478.72,20,16.74,119.66,6.25,-3.58,,True
-8.55,-27.33,47,14.46,-7.45,5.52,10.27,-30.98,-438.72,2,-1.44,103.66,0.12,1.38,6.36,False
-4.11,-10.08,65,14.22,-4.73,15.6,15.82,-66.98,-698.72,20,10.62,89.66,8.25,-1.2,6.91,True
5.61,-17.13,35,12.5,-4.63,21.45,15.32,-36.98,-728.72,20,14.01,229.66,9.5,-1.71,5.94,False
-15.18,-29.22,15,14.74,-9.26,1.08,10.09,-34.98,-420.72,2,-5.88,69.66,0.59,1.14,,True
-7.83,-33.78,25,12.32,-8.95,1.89,10.09,-34.98,-424.72,2,-5.73,77.66,0.29,1.82,6.39,False
-11.34,-26.88,40,11.36,-10.82,5.31,10.18,-34.98,-442.72,2,-3.24,81.66,0.15,2.41,5.76,False
-2.25,-16.74,325,9.92,-4.33,40.65,14.77,-56.98,-608.72,20,6.72,-10.34,5.15,-0.14,3.46,False
-18.39,-35.67,3,13.56,-8.05,6.39,9.59,-26.98,-408.72,2,-0.51,129.66,0.91,2.21,5.02,False
-13.47,-36.93,21,13.62,-9.82,2.07,10.24,-30.98,-444.72,2,-6.75,119.66,0.73,1.28,7.36,True
-8.55,-24.15,11,11.34,-8.23,5.79,9.54,-30.98,-456.72,2,-1.77,61.66,0.88,3.02,5.9,True
4.08,-28.17,275,12.82,-3.7,24.3,15.57,-46.98,-588.72,20,8.04,89.66,7.2,-1.81,,False
-12.51,-37.17,3,11.28,-8.76,2.64,10.03,-34.98,-472.72,2,-1.23,75.66,0.49,3.96,,True
-9.51,-28.44,13,13.36,-8.23,3.96,10.31,-30.98,-474.72,2,0.36,73.66,0.79,3.42,7.18,True
2.16,-10.5,255,12.26,-3.15,15.75,14.97,-56.98,-478.72,20,14.7,139.66,8.6,-3.13,5.56,False
-13.38,-23.4,25,11.68,-8.3,2.07,10.12,-30.98,-472.72,2,-14.04,61.66,0.87,5.12,,False
3.42,-11.07,355,17.02,-3.03,24.15,16.92,-36.98,-678.72,20,13.38,279.66,6.55,-3.39,,False
-11.52,-29.37,3,12.22,-7.22,1.56,9.96,-26.98,-414.72,2,-0.18,111.66,0.9,1.04,6.51,True
-10.98,-24.45,10,12.52,-7.46,1.65,10.25,-34.98,-476.72,2,0.09,91.66,0.21,2.69,,False
-13.26,-36.84,24,13.14,-10.11,4.74,10.47,-30.98,-420.72,2,-2.46,119.66,0.14,1.6,5.44,True
3.93,-11.1,285,13.34,-3.33,24.45,15.27,-36.98,-618.72,20,3.6,239.66,8.7,-2.77,4.33,False
-7.74,-23.49,26,15.86,-7.42,3.75,10.15,-26.98,-440.72,0,-1.95,135.66,0.75,1.85,5.92,True
3.03,-13.02,125,8.58,-6.64,37.2,15.37,-56.98,-518.72,20,9.21,139.66,5.15,-0.89,,False
-8.88,-26.13,21,12.9,-7.3,0.87,10.42,-30.98,-456.72,0,0.51,85.66,0.26,1.07,5.89,True
6.72,-9.87,150,11.84,-2.51,33.3,18.27,-36.98,-698.72,20,15.18,249.66,6.8,-3.07,6.78,True
-8.94,-24.06,26,11.8,-7.17,3.78,10.44,-30.98,-412.72,2,1.29,105.66,0.56,1.35,,True
-14.97,-35.04,7,12.3,-7.41,4.65,10.05,-30.98,-490.72,2,0.03,103.66,0.32,2.29,5.4,False
-6.93,-16.26,100,10.8,-3.78,32.85,16.02,-56.98,-858.72,20,9.24,129.66,6.75,-2,5.2,False
5.28,-8.01,295,13.32,-3.12,16.95,19.42,-36.98,-808.72,20,16.11,229.66,8.4,-3.34,5.84,False
1.77,-12.42,55,17.84,-3.58,29.25,14.62,-56.98,-868.72,20,11.79,229.66,9.4,-2.46,,False
-11.1,-25.74,6,13.02,-8.26,3.12,10.33,-34.98,-422.72,2,0.15,89.66,0.35,1.89,5.19,True
-8.37,-23.4,22,11.4,-8.05,4.62,10.21,-30.98,-448.72,2,0.93,95.66,0.83,5.03,5.99,True
-9.42,-25.83,22,12.48,-8.19,3.3,10.39,-34.98,-458.72,2,-6.09,85.66,0.55,2.55,6.8,True
1.8,-9.75,215,11.76,-3.31,29.55,16.72,-36.98,-608.72,20,10.92,149.66,7.55,-2.47,6.79,True
4.11,-9.09,110,9.92,-2.69,20.85,15.12,-56.98,-558.72,20,10.86,19.66,9.6,-3.54,7.63,True
-23.76,-25.68,10,15.72,-7.65,4.29,10.02,-30.98,-478.72,2,-2.07,103.66,0.38,1.65,5.19,False
4.65,-10.8,55,8.38,-3.48,21.3,15.47,-56.98,-508.72,20,14.85,-60.34,8.3,-2.78,4.54,False
-6.18,-14.64,330,13.76,-3.67,19.2,14.47,-76.98,-728.72,20,9.45,-60.34,8.5,-1.12,4.25,False
2.1,-11.19,280,8.38,-3.55,31.2,16.07,-76.98,-678.72,20,10.47,-70.34,8.35,-1.79,,True
-10.17,-25.02,3,12.24,-9.66,1.41,10.1,-30.98,-434.72,2,-8.79,75.66,0.9,5.23,,True
-12.99,-23.55,66,13.46,-9.53,3.57,10.35,-34.98,-472.72,0,-1.56,95.66,0.29,3.84,6.12,True
-8.28,-32.25,8,12.28,-10.14,6.21,10.09,-34.98,-430.72,2,-1.05,79.66,0.86,1.29,,True
-10.86,-24.03,13,12.28,-9.17,3.3,9.97,-30.98,-462.72,2,-0.69,123.66,0.51,4.32,,False
-13.56,-23.4,29,12.06,-7.3,0,10.31,-30.98,-466.72,2,-2.91,101.66,0.79,3.37,6.27,True
2.82,-10.62,200,10.32,-3.17,15.9,16.62,-56.98,-548.72,20,13.62,-20.34,7.35,-3,6.77,True
-1.59,-17.52,265,10.06,-6.73,39.9,14.82,-76.98,-838.72,20,5.61,79.66,5.8,-0.46,4.83,False
2.58,-13.26,15,10.34,-3.93,19.95,14.77,-56.98,-488.72,20,10.65,239.66,5.35,-0.9,6.15,False
-8.88,-16.53,100,12.72,-4.39,29.55,14.77,-36.98,-558.72,20,9.84,139.66,5.35,1.33,4.74,False
-9.12,-25.17,20,11.76,-8.43,5.1,10.15,-26.98,-440.72,2,-5.7,137.66,0.8,3.73,,True
-7.89,-25.11,1,15.94,-7.19,4.65,10.1,-26.98,-472.72,2,-2.52,139.66,0.99,1.27,,True
4.11,-21.06,10,9.14,-3.9,25.2,15.02,-36.98,-708.72,20,10.08,99.66,8.45,-2.7,,False
4.17,-11.55,140,14.28,-3.09,15.9,14.57,-56.98,-618.72,20,12.03,129.66,8.6,-1.14,3.98,False
-9.78,-28.77,1,12.86,-7.62,2.85,9.55,-30.98,-442.72,2,-1.59,65.66,0.74,2.11,,False
6,-12.03,275,13,-3.84,22.5,16.67,-36.98,-738.72,20,11.67,259.66,8.1,-1.99,4.64,False
1.89,-15.84,265,14.2,-4.99,29.7,15.07,-36.98,-628.72,20,6.33,239.66,5.45,-0.78,,False
-9.06,-24.51,15,10.88,-9.18,4.02,9.97,-34.98,-448.72,2,-0.33,77.66,0.61,1.65,6.53,True
-9.96,-26.52,24,13.36,-8.25,3.03,10.11,-26.98,-416.72,2,0.84,131.66,0.63,2.11,,True
2.58,-16.71,250,10.56,-7.98,24.15,15.72,-56.98,-708.72,20,11.28,-30.34,6.65,-2.35,4.91,False
-15.54,-24.51,18,11.88,-7.42,3.18,10.12,-30.98,-478.72,2,-12.12,105.66,0.95,3.39,,False
4.53,-11.7,205,15.76,-5.05,20.1,16.22,-76.98,-568.72,20,13.98,-40.34,6.1,-3.29,6.25,True
-12.06,-25.29,8,11.12,-9.11,4.47,10,-34.98,-494.72,2,-4.68,77.66,0.2,2.67,,True
1.53,-12.72,135,13.36,-3.41,27.9,16.97,-36.98,-848.72,20,12.93,269.66,6.45,-2.09,,False
2.1,-18.78,340,11.82,-4.76,28.5,15.12,-56.98,-658.72,20,12.24,119.66,7.25,0.52,,False
2.1,-13.11,340,13.52,-2.62,23.85,16.52,-56.98,-728.72,20,13.92,199.66,7.55,-3.28,,False
-15.51,-23.91,16,11.46,-8.66,6.21,9.95,-30.98,-498.72,2,-8.28,77.66,0.78,3.77,6.78,True
-8.73,-24.9,16,12.92,-8.56,0.27,10.41,-30.98,-482.72,2,0.69,69.66,0.42,1.58,,False
-9.03,-28.35,2,14.6,-10.7,3.54,10.11,-26.98,-456.72,2,-1.05,127.66,0,1.53,,False
-7.89,-29.07,7,12.98,-8.17,1.05,10.32,-30.98,-436.72,2,0.96,117.66,0.49,1.2,5.43,True
1.11,-10.5,45,12.82,-3.02,32.55,15.22,-36.98,-768.72,20,13.56,99.66,9.65,-1.63,,True
-14.37,-24.72,30,12.64,-7.87,3.72,10.46,-26.98,-450.72,2,-4.14,111.66,0.58,2.37,7.16,True
-18.63,-28.92,41,13.88,-7.49,4.86,10.21,-30.98,-472.72,2,-1.17,137.66,0.67,1.43,,True
3.99,-17.61,50,10.06,-5.28,18.75,16.67,-56.98,-838.72,20,8.64,239.66,6.15,-2.4,4.49,False
-15.45,-25.11,11,13.1,-8.17,4.2,9.69,-30.98,-454.72,2,-0.24,61.66,0.28,2.28,,False
2.13,-15.18,10,14.74,-7.23,18.15,15.07,-76.98,-768.72,20,10.65,-10.34,7.25,-2.15,4.46,False
-2.76,-14.61,375,12.22,-5.36,25.95,15.87,-76.98,-888.72,20,8.91,59.66,5.7,0.17,,False
4.68,-12.36,390,11.9,-2.66,38.85,17.97,-46.98,-798.72,20,10.56,89.66,5.65,-0.19,,False
-1.56,-22.5,140,13.94,-5.44,20.4,14.32,-56.98,-768.72,20,3.78,239.66,5.6,2.99,,False
-9.72,-26.88,64,12.4,-7.12,2.52,10.31,-30.98,-418.72,2,-0.87,91.66,0.75,3.68,,True
4.26,-7.77,350,10.16,-4.47,18.75,16.57,-76.98,-658.72,20,8.1,-20.34,10.35,-4.11,5.75,True
3.9,-13.53,275,11.04,-5.51,19.5,16.27,-56.98,-678.72,20,10.89,49.66,5.3,-2.18,,False
3.12,-8.34,125,17.9,-2.55,19.35,17.02,-56.98,-438.72,20,14.64,249.66,6.9,-3.81,7,True
-14.01,-37.11,25,12.3,-12.37,0.69,10.5,-34.98,-434.72,2,1.02,65.66,0.42,3.65,,True
5.19,-12.12,240,10.18,-2.61,21.3,17.47,-56.98,-528.72,20,13.62,29.66,5.8,-2.16,7.54,True
-4.29,-9.78,355,13.92,-5.35,27.3,16.17,-56.98,-458.72,20,13.92,239.66,6,-3,,False
6.3,-10.92,335,14.28,-2.77,37.2,15.82,-56.98,-538.72,20,15.54,279.66,9,-2.83,,False
5.85,-8.04,380,13.74,-1.85,28.8,17.07,-36.98,-428.72,20,2.07,199.66,9.65,-4.16,,False
-9.57,-23.25,16,13.44,-6.91,1.71,10.3,-30.98,-404.72,2,-2.79,131.66,1.03,1.22,,True
-2.4,-14.28,230,11.58,-2.43,23.25,18.42,-56.98,-768.72,20,14.64,-70.34,6,-1.47,,True
-11.73,-26.88,1,10.94,-8.75,4.29,9.6,-30.98,-462.72,2,-6.42,89.66,0.73,3.35,5.32,False
-20.85,-25.47,50,12.68,-7.05,1.98,10.3,-34.98,-468.72,0,0.21,87.66,0.9,2.96,,True
3.69,-9.12,190,10,-3.59,15.75,16.12,-56.98,-658.72,20,11.7,9.66,8.9,-3.5,,True
-11.64,-25.11,9,12.96,-7.84,4.44,9.63,-30.98,-424.72,2,-2.82,97.66,0.61,3.56,,False
-7.92,-23.79,35,15.96,-8.86,4.71,10.46,-30.98,-478.72,2,-3.6,129.66,0.36,6.03,6.89,True
7.32,-13.83,255,13.06,-3.1,19.5,18.42,-56.98,-808.72,20,15.03,189.66,8.55,-3.49,,True
3.87,-13.83,50,14.08,-2.98,19.5,16.87,-56.98,-758.72,20,9.81,169.66,6.4,-2.1,5,True
-14.88,-25.68,7,12.52,-9.21,2.88,9.73,-34.98,-428.72,0,0.39,61.66,0.78,2.1,6.77,True
-15.9,-28.29,3,12.78,-8.55,1.98,10.21,-26.98,-456.72,2,-0.15,109.66,0.86,5.1,,True
-2.07,-19.65,340,13.24,-6.47,42.15,14.72,-56.98,-718.72,20,0.84,249.66,5.05,-1.15,3.06,False
-12.45,-27.3,56,15.46,-7.51,2.7,10.27,-30.98,-456.72,2,-4.44,77.66,0.5,1.27,,True
-8.01,-25.74,20,11.8,-7.98,1.62,9.58,-30.98,-446.72,0,-2.73,61.66,0.62,1.34,4.62,False
-8.79,-29.25,20,14.48,-10.21,3.45,10.31,-30.98,-490.72,2,-9.9,113.66,0.14,4.2,5.19,False
3.24,-14.67,215,11.88,-3.13,24.9,16.52,-36.98,-468.72,20,11.28,119.66,5.15,-3.22,,False
-3.63,-20.28,190,9.08,-4.66,33,14.47,-56.98,-828.72,20,7.26,119.66,7.35,-0.8,,False
-10.65,-24.06,0,10.68,-8.05,4.86,9.82,-28.98,-452.72,2,-2.19,63.66,0.42,3.89,,True
-14.43,-24.57,4,12.22,-9.03,0.54,9.83,-30.98,-408.72,2,-7.14,97.66,1,1.4,6.12,True
-9.96,-34.95,33,11.68,-8.63,2.4,10.04,-34.98,-426.72,2,-2.07,87.66,0.34,2.29,4.82,False
3.63,-12.33,100,12.9,-3.85,16.35,15.37,-56.98,-578.72,20,12.3,-80.34,6.25,-0.88,5.06,False
4.17,-10.53,250,11.08,-6,24.6,15.87,-56.98,-858.72,20,7.14,29.66,9,3.6,,False
4.83,-9.3,185,11.68,-5.57,38.7,16.22,-46.98,-648.72,20,12.39,89.66,8,1.11,,True
-14.67,-23.43,1,11.72,-7.75,4.8,10.16,-26.98,-448.72,2,0.3,109.66,0.86,1.3,7.09,True
-8.13,-24.24,9,14.16,-9.32,3,10.18,-30.98,-410.72,2,-7.35,93.66,0.18,3.48,,False
-8.28,-26.79,55,12.88,-10.07,0.66,10.4,-30.98,-474.72,2,-11.91,67.66,0.66,2.05,5.73,True
-12.78,-29.55,60,11.44,-9.81,5.55,10.24,-34.98,-424.72,2,0.87,93.66,0.52,1.85,,True
5.04,-10.95,365,15.6,-5.49,30.15,15.87,-56.98,-608.72,20,6,-20.34,6.55,-2.82,3.84,False
7.65,-9.57,185,12.36,-3.4,28.2,18.42,-56.98,-668.72,20,15.99,179.66,6.75,-2.72,,True
4.41,-12.63,200,18.46,-3.45,16.65,15.87,-56.98,-748.72,20,12.87,-0.34,7.05,-2.9,4.37,False
2.85,-14.31,340,13.34,-4.87,15.75,16.37,-56.98,-708.72,20,12.21,119.66,5.15,-1.96,,False
-16.38,-26.55,16,13.14,-10.26,3.54,9.99,-30.98,-444.72,2,-0.39,69.66,0.37,2.24,4.41,False
5.94,-13.68,265,12.4,-2.54,29.85,16.72,-36.98,-768.72,20,13.11,119.66,9.4,-3.15,6.03,True
-22.89,-29.19,36,13.22,-9.93,4.92,10.26,-34.98,-422.72,2,0.6,73.66,0.26,1.42,,True
-8.31,-24.18,35,13.4,-11.42,2.43,10.25,-30.98,-456.72,2,-6.36,129.66,0.6,1.26,,True
-10.89,-24.27,17,14.02,-7.5,0.3,10.37,-30.98,-494.72,2,0.6,75.66,0.54,2.07,,False
0.6,-15.57,170,10.46,-5.44,38.4,15.47,-36.98,-678.72,20,11.91,209.66,7.15,-0.14,4.76,False
-3.69,-16.71,160,12.36,-3.85,38.4,14.77,-56.98,-608.72,20,6.6,59.66,6.25,-1.51,,False
-14.28,-30.03,0,11.02,-12.23,0.84,9.9,-32.98,-486.72,2,-1.83,65.66,0.45,2.45,4.48,False
-0.21,-18.87,330,11.88,-2.56,33.9,17.22,-56.98,-838.72,20,12.93,119.66,7.5,-1.82,,False
-10.86,-29.01,30,12.08,-10.35,6,10.29,-26.98,-440.72,2,0.48,113.66,0.62,1.28,,True
-5.13,-22.83,145,9.54,-4.89,34.8,14.72,-76.98,-818.72,20,6.06,-50.34,5.75,0.65,,False
-10.05,-27.15,28,11.28,-8.43,5.49,9.95,-34.98,-426.72,2,-2.82,75.66,0.58,3.58,,True
-10.86,-23.46,19,13.42,-8.06,5.64,10.11,-30.98,-452.72,2,0.66,109.66,0.75,1.1,6.03,True
2.25,-20.28,325,12.6,-3.27,35.25,15.72,-56.98,-778.72,20,14.01,199.66,10.2,-3.04,4.62,False
-12.75,-26.79,41,12.5,-7.18,3.93,10.23,-34.98,-454.72,2,-6.27,85.66,0.93,1.41,,True
4.89,-13.83,295,13.78,-2.85,30,17.12,-36.98,-678.72,20,6.18,249.66,5.3,-3.03,,False
8.19,-7.17,255,14.22,-3.44,25.35,19.17,-36.98,-438.72,20,15.96,109.66,5.25,-3.64,7.46,True
2.37,-9.54,285,12.52,-4.46,28.35,16.62,-56.98,-618.72,20,15.54,-20.34,9.6,-4.07,6.86,True
-11.58,-38.31,22,12.54,-8.56,3.81,10.39,-30.98,-430.72,2,-4.71,123.66,0.02,1.44,,False
2.19,-15.87,10,12.44,-3.86,29.25,15.42,-76.98,-678.72,20,4.05,-70.34,5.55,-0.75,,False
1.83,-11.85,205,16,-4.1,18.6,15.17,-76.98,-848.72,20,10.71,49.66,8.8,-1.19,5.28,False
-9.06,-27.33,23,13.1,-9.12,5.61,9.69,-30.98,-446.72,2,-2.19,89.66,0.48,2.53,5.09,False
5.37,-9.18,255,10.68,-3.61,24.3,17.52,-56.98,-818.72,20,14.01,29.66,8.45,-2.46,6.4,True
-0.48,-13.74,350,13.04,-5.47,24.6,15.32,-36.98,-588.72,20,10.35,259.66,5.55,-0.39,4.23,False
-14.55,-25.14,17,12.16,-8.82,4.65,9.79,-30.98,-466.72,2,-0.99,69.66,0.74,2.23,6.43,False
